Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
2014-06-17,LAD,COL,3,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-06-16,LAD,COL,3,RF,5,3,0,0,0,1,1,0,0,0.0 %,20.0 %,.000,.750,.600,.600,.600,.535,253
2014-06-15,LAD,ARI,3,RF,5,2,0,0,0,0,0,0,1,0.0 %,0.0 %,.000,.400,.400,.400,.400,.357,132
2014-06-14,LAD,ARI,3,RF,4,0,0,0,0,1,0,0,1,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-13,LAD,ARI,3,RF,5,0,0,0,0,0,0,0,0,0.0 %,40.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-12,LAD,@CIN,3,RF,4,1,0,0,0,0,0,0,1,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-06-11,LAD,@CIN,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,75.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-10,LAD,@CIN,3,RF,5,2,1,0,0,1,0,1,0,0.0 %,40.0 %,.200,.667,.400,.400,.600,.435,185
2014-06-09,LAD,@CIN,3,RF,5,1,0,0,0,1,0,0,0,20.0 %,20.0 %,.000,.333,.250,.400,.250,.316,104
2014-06-07,LAD,@COL,3,RF,2,0,0,0,0,0,0,0,0,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-06,LAD,@COL,3,RF,5,1,0,0,0,1,0,1,0,0.0 %,40.0 %,.000,.333,.200,.200,.200,.178,10
2014-06-04,LAD,CHW,2,RF,4,0,0,0,0,0,0,0,0,50.0 %,0.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-03,LAD,CHW,3,RF,5,2,1,0,0,0,0,0,0,20.0 %,0.0 %,.250,.500,.500,.600,.750,.573,279
2014-06-02,LAD,CHW,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-01,LAD,PIT,3,RF,4,2,1,0,0,0,0,0,0,0.0 %,0.0 %,.250,.500,.500,.500,.750,.544,259
2014-05-31,LAD,PIT,3,RF,4,1,0,0,0,2,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-05-30,LAD,PIT,3,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-05-29,LAD,PIT,3,RF,4,2,2,0,0,1,1,0,0,0.0 %,25.0 %,.500,.667,.500,.500,1.000,.641,326
2014-05-28,LAD,CIN,3,RF,4,1,0,0,1,1,1,0,0,0.0 %,25.0 %,.750,.000,.250,.250,1.000,.534,253
2014-05-27,LAD,CIN,3,RF,4,1,0,0,0,1,0,0,1,25.0 %,0.0 %,.000,.500,.500,.750,.500,.576,281
2014-05-26,LAD,CIN,3,RF,4,0,0,0,0,0,0,0,0,50.0 %,25.0 %,.000,.000,.000,.500,.000,.230,45
2014-05-25,LAD,@PHI,3,RF,5,2,1,0,0,1,0,1,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.435,185
2014-05-24,LAD,@PHI,3,RF,4,2,0,1,0,1,0,0,0,0.0 %,0.0 %,.500,.500,.500,.500,1.000,.632,319
2014-05-23,LAD,@PHI,3,RF,5,3,0,0,0,0,1,0,0,40.0 %,0.0 %,.000,1.000,1.000,1.000,1.000,.841,463
2014-05-22,LAD,@NYM,2,RF,4,1,1,0,0,0,0,0,0,0.0 %,50.0 %,.250,.500,.250,.250,.500,.321,107
2014-05-21,LAD,@NYM,2,RF,4,1,0,0,1,1,1,0,0,25.0 %,25.0 %,1.000,.000,.333,.500,1.333,.706,370
2014-05-20,LAD,@NYM,2,RF,6,3,1,0,0,2,1,0,0,16.7 %,16.7 %,.250,1.000,.750,.833,1.000,.746,398
2014-05-18,LAD,@ARI,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.250,.000,.181,11
2014-05-17,LAD,@ARI,2,RF,5,1,0,0,1,1,2,0,0,0.0 %,60.0 %,.600,.000,.200,.200,.800,.427,180
2014-05-16,LAD,@ARI,2,RF,5,3,1,0,1,2,2,0,0,0.0 %,0.0 %,.800,.500,.600,.600,1.400,.862,477
2014-05-14,LAD,MIA,2,RF,5,1,1,0,0,0,1,0,0,20.0 %,0.0 %,.250,.250,.250,.400,.500,.394,157
2014-05-13,LAD,MIA,2,RF,4,2,1,0,0,1,1,0,0,25.0 %,0.0 %,.333,.667,.667,.750,1.000,.716,377
2014-05-12,LAD,MIA,2,RF,5,1,0,0,1,1,4,0,1,40.0 %,0.0 %,1.000,.000,.333,.600,1.333,.703,368
2014-05-11,LAD,SFG,2,RF,5,2,0,0,1,1,1,0,0,0.0 %,40.0 %,.600,.500,.400,.400,1.000,.605,302
2014-05-10,LAD,SFG,2,RF,4,2,1,0,0,1,1,0,0,0.0 %,25.0 %,.250,.667,.500,.500,.750,.544,259
2014-05-09,LAD,SFG,2,RF,4,1,0,0,1,1,1,0,0,0.0 %,25.0 %,.750,.000,.250,.250,1.000,.534,253
2014-05-08,LAD,SFG,2,RF,4,1,0,0,0,0,0,0,0,25.0 %,25.0 %,.000,.500,.333,.500,.333,.395,158
2014-05-07,LAD,@WSN,5,RF,4,1,0,0,0,0,1,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.395,158
2014-05-04,LAD,@MIA,2,RF,5,1,0,0,0,1,0,0,0,20.0 %,40.0 %,.000,.500,.250,.400,.250,.223,40
2014-05-03,LAD,@MIA,2,RF,6,2,0,0,1,1,3,0,1,0.0 %,33.3 %,.500,.333,.333,.333,.833,.504,233
2014-05-02,LAD,@MIA,2,RF,4,1,0,0,0,0,1,2,0,25.0 %,25.0 %,.000,.500,.333,.500,.333,.395,158
2014-05-01,LAD,@MIN,2,RF,7,2,0,0,0,0,0,0,0,14.3 %,28.6 %,.000,.500,.333,.429,.333,.353,129
2014-05-01,LAD,@MIN,2,RF,5,4,1,0,0,0,2,1,0,20.0 %,0.0 %,.250,1.000,1.000,1.000,1.250,.929,523
2014-04-30,LAD,@MIN,2,RF,5,2,0,0,0,2,1,0,0,20.0 %,0.0 %,.000,.500,.500,.600,.500,.494,226
2014-04-27,LAD,COL,2,RF,5,0,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.000,.000,.250,.000,.181,11
2014-04-26,LAD,COL,2,RF,5,2,1,0,0,1,2,0,0,0.0 %,20.0 %,.250,.667,.500,.600,.750,.579,284
2014-04-25,LAD,COL,2,RF,5,2,0,0,1,1,2,0,0,0.0 %,0.0 %,.600,.250,.400,.400,1.000,.605,302
2014-04-24,LAD,PHI,5,RF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2014-04-23,LAD,PHI,1,RF,4,2,0,1,0,0,2,0,0,0.0 %,50.0 %,.500,1.000,.500,.500,1.000,.632,319
2014-04-22,LAD,PHI,2,RF,5,2,1,0,0,0,0,0,0,0.0 %,0.0 %,.200,.400,.400,.400,.600,.435,185
2014-04-21,LAD,PHI,1,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-04-20,LAD,ARI,5,RF,3,1,0,0,1,1,3,0,0,0.0 %,33.3 %,1.000,.000,.333,.333,1.333,.712,374
2014-04-18,LAD,ARI,1,RF,6,0,0,0,0,0,0,0,0,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,124
2014-04-17,LAD,@SFG,3,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-04-16,LAD,@SFG,9,RF,1,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2014-04-15,LAD,@SFG,5,RF,6,2,0,1,0,0,0,0,0,16.7 %,0.0 %,.400,.400,.400,.500,.800,.536,254
2014-04-13,LAD,@ARI,2,RF,5,0,0,0,0,1,0,1,0,20.0 %,60.0 %,.000,.000,.000,.200,.000,.138,-18
2014-04-12,LAD,@ARI,1,RF,6,2,0,0,0,1,1,0,0,16.7 %,0.0 %,.000,.400,.400,.500,.400,.412,170
2014-04-11,LAD,@ARI,2,RF,4,1,1,0,0,2,0,0,0,0.0 %,0.0 %,.250,.250,.250,.250,.500,.321,107
2014-04-09,LAD,DET,8,PH,1,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2014-04-05,LAD,SFG,1,RF,4,1,0,0,0,0,0,0,1,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-04-02,LAD,@SDP,2,RF,5,0,0,0,0,1,0,0,0,20.0 %,0.0 %,.000,.000,.000,.250,.000,.172,6
2014-04-01,LAD,@SDP,2,RF,4,2,0,0,1,1,2,0,0,0.0 %,0.0 %,.750,.333,.500,.500,1.250,.757,405
2014-03-30,LAD,@SDP,2,RF,4,0,0,0,0,0,0,0,0,25.0 %,25.0 %,.000,.000,.000,.250,.000,.172,6
2014-03-22,LAD,@ARI,2,RF,6,3,1,0,0,1,2,0,0,0.0 %,16.7 %,.200,.750,.600,.667,.800,.631,319
2014-03-22,LAD,@ARI,1,RF,5,0,0,0,0,0,0,0,0,0.0 %,60.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-29,LAD,COL,1,RF,3,0,0,0,0,0,0,0,0,33.3 %,33.3 %,.000,.000,.000,.333,.000,.230,43
2013-09-28,LAD,COL,9,PH,1,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-27,LAD,COL,1,RF,4,0,0,0,0,1,0,0,0,25.0 %,0.0 %,.000,.000,.000,.250,.000,.173,3
2013-09-26,LAD,@SFG,1,RF,4,1,0,0,0,0,0,0,0,0.0 %,75.0 %,.000,1.000,.250,.250,.250,.222,38
2013-09-25,LAD,@SFG,1,RF,4,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.222,38
2013-09-24,LAD,@SFG,1,RF,5,1,0,0,1,1,1,0,0,0.0 %,0.0 %,.750,.000,.250,.400,1.000,.565,276
2013-09-22,LAD,@SDP,1,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-21,LAD,@SDP,1,RF,5,1,0,0,1,1,2,0,0,20.0 %,20.0 %,.750,.000,.250,.400,1.000,.558,272
2013-09-20,LAD,@SDP,6,PH,1,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-19,LAD,@ARI,1,RF,5,0,0,0,0,0,0,0,0,20.0 %,0.0 %,.000,.000,.000,.200,.000,.138,-21
2013-09-18,LAD,@ARI,1,RF,4,3,1,0,1,1,1,0,0,0.0 %,0.0 %,1.000,.667,.750,.750,1.750,1.065,625
2013-09-17,LAD,@ARI,1,RF,5,0,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-16,LAD,@ARI,4,RF,4,0,0,0,0,0,1,0,0,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,123
2013-09-15,LAD,SFG,4,PH,1,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-14,LAD,SFG,1,CF,3,1,0,0,0,2,0,0,0,33.3 %,0.0 %,.000,1.000,1.000,1.000,1.000,.767,417
2013-09-13,LAD,SFG,1,RF-CF,5,1,0,0,0,0,0,0,0,0.0 %,40.0 %,.000,.333,.200,.200,.200,.178,7
2013-09-12,LAD,SFG,1,RF,5,1,1,0,0,0,1,0,0,20.0 %,0.0 %,.250,.250,.250,.400,.500,.392,156
2013-09-11,LAD,ARI,1,RF,4,2,0,0,1,1,1,0,0,0.0 %,0.0 %,.750,.333,.500,.500,1.250,.747,403
2013-09-10,LAD,ARI,1,RF,5,0,0,0,0,0,1,1,0,20.0 %,40.0 %,.000,.000,.000,.200,.000,.138,-21
2013-09-09,LAD,ARI,1,RF,5,1,0,0,0,0,0,0,0,20.0 %,20.0 %,.000,.333,.250,.400,.250,.316,103
2013-09-08,LAD,@CIN,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.250,.000,.180,9
2013-09-07,LAD,@CIN,2,RF,5,1,0,0,1,2,2,0,0,0.0 %,40.0 %,.750,.000,.250,.400,1.000,.565,276
2013-09-06,LAD,@CIN,2,RF,4,1,0,0,0,1,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.222,38
2013-09-04,LAD,@COL,1,PH,1,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2013-09-02,LAD,@COL,2,RF,4,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.333,.333,.500,.333,.402,163
2013-09-01,LAD,SDP,4,RF,4,2,0,0,1,1,1,0,1,0.0 %,0.0 %,.750,.333,.500,.500,1.250,.747,403
2013-08-31,LAD,SDP,2,RF,5,0,0,0,0,0,0,0,1,20.0 %,60.0 %,.000,.000,.000,.200,.000,.138,-21
2013-08-30,LAD,SDP,1,RF,5,4,1,0,0,1,1,2,0,0.0 %,0.0 %,.200,.800,.800,.800,1.000,.787,431
2013-08-28,LAD,CHC,1,RF,2,0,0,0,0,0,0,0,0,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,123
2013-08-27,LAD,CHC,2,RF,5,2,0,0,0,0,0,1,0,0.0 %,20.0 %,.000,.500,.400,.400,.400,.355,130
2013-08-26,LAD,CHC,2,RF,5,3,1,0,1,1,1,0,0,0.0 %,20.0 %,.800,.667,.600,.600,1.400,.852,476
2013-08-25,LAD,BOS,5,RF,3,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-24,LAD,BOS,1,RF,4,2,0,0,0,1,0,0,0,25.0 %,0.0 %,.000,.667,.667,.750,.667,.616,312
2013-08-23,LAD,BOS,2,RF,3,0,0,0,0,0,0,0,0,0.0 %,33.3 %,.000,.000,.000,.000,.000,.000,-100
2013-08-22,LAD,@MIA,4,RF,5,1,1,0,0,1,1,0,0,0.0 %,0.0 %,.333,.250,.333,.400,.667,.399,161
2013-08-21,LAD,@MIA,2,RF,5,0,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-20,LAD,@MIA,9,RF,2,1,0,0,1,1,1,0,0,0.0 %,0.0 %,1.500,.000,.500,.500,2.000,1.051,615
2013-08-19,LAD,@MIA,2,RF,5,0,0,0,0,0,0,0,0,0.0 %,40.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-18,LAD,@PHI,4,RF,4,0,0,0,0,0,0,0,1,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-17,LAD,@PHI,2,RF,4,2,1,0,0,0,0,0,0,0.0 %,25.0 %,.250,.667,.500,.500,.750,.540,259
2013-08-16,LAD,@PHI,2,CF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-14,LAD,NYM,2,RF-CF,6,1,1,0,0,1,0,0,0,0.0 %,16.7 %,.167,.200,.167,.167,.333,.212,31
2013-08-13,LAD,NYM,4,RF,4,2,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.444,192
2013-08-12,LAD,NYM,4,RF,4,0,0,0,0,0,1,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2013-08-11,LAD,TBR,4,RF,4,1,1,0,0,1,0,0,0,25.0 %,50.0 %,.333,1.000,.333,.500,.667,.424,178
2013-08-10,LAD,TBR,4,RF,4,0,0,0,0,0,0,0,0,50.0 %,25.0 %,.000,.000,.000,.500,.000,.000,-100
2013-08-09,LAD,TBR,4,CF,5,2,1,0,0,1,1,0,0,20.0 %,0.0 %,.250,.500,.500,.600,.750,.540,259
2013-08-08,LAD,@STL,4,RF,5,3,0,1,0,0,0,0,0,0.0 %,20.0 %,.400,.750,.600,.600,1.000,.678,355
2013-08-07,LAD,@STL,4,RF,6,1,0,0,0,2,0,0,0,50.0 %,0.0 %,.000,.333,.333,.667,.333,.493,226
2013-08-06,LAD,@STL,4,RF,4,1,0,0,0,0,0,0,0,25.0 %,25.0 %,.000,.500,.333,.500,.333,.394,158
2013-08-05,LAD,@STL,4,RF,4,1,1,0,0,1,0,0,0,0.0 %,50.0 %,.250,.500,.250,.250,.500,.318,104
2013-08-03,LAD,@CHC,2,RF,4,2,0,0,0,1,0,0,0,25.0 %,25.0 %,.000,1.000,.667,.750,.667,.616,312
2013-08-02,LAD,@CHC,4,RF,5,2,0,0,0,1,1,0,0,20.0 %,20.0 %,.000,1.000,.667,.800,.667,.638,327
2013-08-01,LAD,@CHC,2,CF,5,2,1,0,1,2,1,0,0,20.0 %,20.0 %,1.000,.500,.500,.600,1.500,.812,449
2013-07-31,LAD,NYY,2,RF,4,0,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.000,.000,.250,.000,.000,-100
2013-07-30,LAD,NYY,2,RF,4,1,1,0,0,1,0,0,0,0.0 %,25.0 %,.250,.333,.250,.250,.500,.318,104
2013-07-28,LAD,CIN,2,RF,5,1,0,0,1,1,1,0,1,20.0 %,60.0 %,.750,.000,.250,.400,1.000,.558,272
2013-07-27,LAD,CIN,2,RF,4,2,0,0,0,1,0,1,0,25.0 %,0.0 %,.000,.667,.667,.750,.667,.616,312
2013-07-26,LAD,CIN,2,RF,4,0,0,0,0,0,0,0,1,0.0 %,75.0 %,.000,.000,.000,.000,.000,.000,-100
2013-07-25,LAD,CIN,2,RF,4,2,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.444,192
2013-07-24,LAD,@TOR,2,RF,6,3,1,0,1,2,2,0,0,16.7 %,0.0 %,.800,.500,.600,.667,1.400,.825,457
2013-07-23,LAD,@TOR,2,RF,5,2,0,0,0,2,0,1,0,20.0 %,20.0 %,.000,1.000,.667,.800,.667,.638,327
2013-07-22,LAD,@TOR,2,CF,6,1,0,0,0,0,1,0,0,0.0 %,33.3 %,.000,.333,.200,.333,.200,.268,70
2013-07-21,LAD,@WSN,6,RF,0,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000, 
2013-07-20,LAD,@WSN,2,RF,5,0,0,0,0,0,0,0,0,0.0 %,60.0 %,.000,.000,.000,.000,.000,.000,-100
2013-07-19,LAD,@WSN,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2013-07-14,LAD,COL,9,PH-RF-CF,3,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.333,.333,.333,.333,.296,89
2013-07-12,LAD,COL,2,RF,2,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2013-07-11,LAD,COL,2,CF,4,2,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.444,192
2013-07-10,LAD,@ARI,2,RF,7,1,0,0,0,1,0,0,0,0.0 %,42.9 %,.000,.250,.143,.143,.143,.127,-29
2013-07-09,LAD,@ARI,2,RF,5,1,0,0,0,0,0,0,0,40.0 %,0.0 %,.000,.333,.333,.600,.333,.454,199
2013-07-08,LAD,@ARI,2,RF,5,2,0,0,0,1,0,0,0,0.0 %,20.0 %,.000,.500,.400,.400,.400,.355,130
2013-07-07,LAD,@SFG,2,RF,4,2,0,0,0,1,0,1,1,0.0 %,50.0 %,.000,1.000,.500,.500,.500,.444,192
2013-07-06,LAD,@SFG,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2013-07-05,LAD,@SFG,2,RF,6,1,1,0,0,1,0,0,0,16.7 %,16.7 %,.200,.250,.200,.333,.400,.327,111
2013-07-04,LAD,@COL,2,RF,5,1,0,0,0,1,1,0,0,0.0 %,20.0 %,.000,.250,.200,.200,.200,.178,7
2013-07-03,LAD,@COL,2,RF,4,1,1,0,0,1,1,0,0,0.0 %,25.0 %,.333,.333,.333,.250,.667,.318,104
2013-07-02,LAD,@COL,2,RF,5,3,1,0,1,2,1,0,1,0.0 %,40.0 %,.800,1.000,.600,.600,1.400,.852,476
2013-06-30,LAD,PHI,2,RF,5,4,1,1,0,2,0,2,1,0.0 %,20.0 %,.600,1.000,.800,.800,1.400,.933,532
2013-06-29,LAD,PHI,2,RF,4,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.222,38
2013-06-28,LAD,PHI,2,RF,4,1,0,0,0,1,0,0,0,25.0 %,25.0 %,.000,.500,.333,.500,.333,.394,158
2013-06-27,LAD,PHI,2,RF,4,1,0,0,0,1,2,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.222,38
2013-06-26,LAD,SFG,2,RF-LF,4,3,1,0,0,0,0,0,0,0.0 %,0.0 %,.250,.750,.750,.750,1.000,.762,413
2013-06-25,LAD,SFG,2,LF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2013-06-24,LAD,SFG,2,RF,4,3,0,0,1,1,2,0,0,0.0 %,0.0 %,.750,.667,.750,.750,1.500,.969,558
2013-06-23,LAD,@SDP,2,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.222,38
2013-06-22,LAD,@SDP,2,RF,5,0,0,0,0,0,0,0,0,40.0 %,40.0 %,.000,.000,.000,.400,.000,.276,75
2013-06-21,LAD,@SDP,2,RF,4,2,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.444,192
2013-06-20,LAD,@SDP,2,RF,5,1,0,0,1,1,1,0,0,0.0 %,60.0 %,.600,.000,.200,.200,.800,.420,176
2013-06-19,LAD,@NYY,2,RF,5,2,0,0,1,3,1,1,0,0.0 %,20.0 %,.750,.500,.500,.600,1.250,.742,400
2013-06-19,LAD,@NYY,2,RF,5,2,1,0,0,1,0,0,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.432,184
2013-06-16,LAD,@PIT,4,RF,4,3,0,0,0,1,0,1,0,0.0 %,25.0 %,.000,1.000,.750,.750,.750,.666,347
2013-06-15,LAD,@PIT,2,RF,5,1,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.250,.200,.200,.200,.178,7
2013-06-14,LAD,@PIT,1,RF,4,2,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.444,192
2013-06-12,LAD,ARI,8,RF,1,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,1.000,1.000,1.000,1.000,.888,501
2013-06-11,LAD,ARI,4,RF,3,0,0,0,0,1,0,0,0,0.0 %,33.3 %,.000,.000,.000,.333,.000,.241,51
2013-06-10,LAD,ARI,4,RF,4,3,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,1.000,.750,.750,.750,.666,347
2013-06-09,LAD,ATL,1,RF-CF,5,3,1,0,0,0,0,0,0,0.0 %,0.0 %,.200,.600,.600,.600,.800,.609,307
2013-06-08,LAD,ATL,1,RF,4,2,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.444,192
2013-06-07,LAD,ATL,1,RF,4,1,0,0,1,1,1,0,0,25.0 %,0.0 %,1.000,.000,.333,.500,1.333,.700,371
2013-06-06,LAD,ATL,1,RF,4,2,0,0,1,1,4,0,0,0.0 %,25.0 %,.750,.500,.500,.500,1.250,.747,403
2013-06-05,LAD,SDP,1,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2013-06-04,LAD,SDP,1,RF,4,3,1,0,2,2,5,0,0,0.0 %,0.0 %,1.750,.500,.750,.750,2.500,1.368,836
2013-06-03,LAD,SDP,1,RF,4,2,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.444,192
